district,year,ndvi,rainfall_annual,temp_rabi,zone_type,ndvi_mean,rain_mean,temp_mean,ndvi_deficit,rain_deficit,temp_anomaly,n_ndvi,n_rain,n_temp,sspi,zone_factor,sspi_class,sspi_lag1,sspi_lag2,ndvi_lag1,ndvi_trend,ndvi_trend_slope,ndvi_trend_sig
Ahmadabad,2015,0.3202889562754944,657.92,33.74197802197802,inland,0.3349460622406334,819.3454545454545,32.431843921106214,0.014657105965139,161.4254545454545,1.3101341008718066,0.4473332825420622,0.778029033899565,0.8021092020650274,52.1,0.8,High,,,,no trend,0.0031,False
Ahmadabad,2016,0.3357459040902166,551.92,33.84185792349727,inland,0.3349460622406334,819.3454545454545,32.431843921106214,-0.0007998418495831,267.4254545454545,1.4100140023910583,0.3940037951296024,0.8335849070987638,0.8262245852695963,52.5,0.8,High,52.1,,0.3202889562754944,no trend,0.0031,False
Ahmadabad,2017,0.3406496730044442,860.9,33.11934065934066,inland,0.3349460622406334,819.3454545454545,32.431843921106214,-0.0057036107638107,-41.55454545454552,0.6874967382344437,0.3770848350787811,0.6716447778432125,0.6517772697233848,43.9,0.8,Moderate,52.5,52.1,0.3357459040902166,no trend,0.0031,False
Ahmadabad,2018,0.3295153926035969,477.09,34.38291208791208,inland,0.3349460622406334,819.3454545454545,32.431843921106214,0.0054306696370365,342.2554545454545,1.951068166805868,0.4155002760572533,0.8728042089053303,0.9568587600217208,56.9,0.8,High,43.9,52.5,0.3406496730044442,no trend,0.0031,False
Ahmadabad,2019,0.2719379297412744,977.56,30.54576923076923,inland,0.3349460622406334,819.3454545454545,32.431843921106214,0.063008132499359,-158.2145454545455,-1.886074690336983,0.6141537630045918,0.6105018706034151,0.0304043983017296,37.4,0.8,Moderate,56.9,43.9,0.3295153926035969,no trend,0.0031,False
Ahmadabad,2020,0.3521091879699864,980.85,30.624207650273227,inland,0.3349460622406334,819.3454545454545,32.431843921106214,-0.0171631257293529,-161.50454545454556,-1.8076362708329867,0.3375472713609493,0.6087775420861946,0.0493428685597824,28.8,0.8,Moderate,37.4,56.9,0.2719379297412744,no trend,0.0031,False
Ahmadabad,2021,0.3394864043685233,706.77,32.65747252747253,inland,0.3349460622406334,819.3454545454545,32.431843921106214,-0.0045403421278898,112.57545454545448,0.225628606366314,0.3810983389619712,0.7524261621469154,0.5402620717650506,44.1,0.8,Moderate,28.8,37.4,0.3521091879699864,no trend,0.0031,False
Ahmadabad,2022,0.350165788791652,786.92,32.59637362637363,inland,0.3349460622406334,819.3454545454545,32.431843921106214,-0.0152197265510185,32.4254545454545,0.1645297052674124,0.344252377909841,0.7104185844401627,0.5255101207622349,41.4,0.8,Moderate,44.1,28.8,0.3394864043685233,no trend,0.0031,False
Ahmadabad,2023,0.3368646082106612,918.59,32.3595054945055,inland,0.3349460622406334,819.3454545454545,32.431843921106214,-0.0019185459700277,-99.24454545454556,-0.0723384266007158,0.3901440475245354,0.6414087559105541,0.4683197783403489,39.8,0.8,Moderate,41.4,44.1,0.350165788791652,no trend,0.0031,False
Ahmadabad,2024,0.3333937545254352,998.46,31.1724043715847,inland,0.3349460622406334,819.3454545454545,32.431843921106214,0.0015523077151982,-179.11454545454558,-1.2594395495215132,0.4021191703065669,0.5995479295669692,0.1817015694077831,33.3,0.8,Moderate,39.8,41.4,0.3368646082106612,no trend,0.0031,False
Ahmadabad,2025,0.3742490850656831,1095.82,31.70846153846153,inland,0.3349460622406334,819.3454545454545,32.431843921106214,-0.0393030228250496,-276.4745454545455,-0.723382382644683,0.2611603043069795,0.5485203841455165,0.3111292500738333,29.9,0.8,Moderate,33.3,39.8,0.3333937545254352,no trend,0.0031,False
Amreli,2015,0.4118940921377047,657.42,34.27434065934066,coastal,0.3653684670564672,878.4136363636363,32.98440611301267,-0.0465256250812375,220.9936363636364,1.2899345463279914,0.236240916551804,0.8092494334825625,0.7972321448095014,86.6,1.5,Critical,,,,no trend,-0.0082,False
Amreli,2016,0.4729185479291706,646.68,33.87803278688525,coastal,0.3653684670564672,878.4136363636363,32.98440611301267,-0.1075500808727034,231.7336363636364,0.893626673872582,0.0256946310889331,0.8148783964840662,0.7015460651690699,70.6,1.5,High,86.6,,0.4118940921377047,no trend,-0.0082,False
Amreli,2017,0.4097807752513198,805.38,33.55417582417582,coastal,0.3653684670564672,878.4136363636363,32.98440611301267,-0.0444123081948525,73.03363636363633,0.5697697111631541,0.2435322723642147,0.7317018202886619,0.6233528086639035,76.4,1.5,Critical,70.6,86.6,0.4729185479291706,no trend,-0.0082,False
